AUCTION SELECTION,LOCATION SELECTION,EXIT PORT SELECTION,SEDAN/SUV,BIG SUV,PICKUP,VAN,SPRINTER,MOTO,
IAAI,NJ- PORT MURRAY,NJ ,1520,1870,2170,1920,2640,1270,
IAAI,GA - AUGUSTA ,GA ,1600,1900,2050,1950,2700,1400,
IAAI,MD- ELKTON,NJ ,1650,2000,2300,2050,2900,1400,
IAAI,CA-SANTA CLARITA ,CA,2110,2510,2860,2560,4320,1460,
IAAI,CA-STOCKTON,CA,2275,2675,3025,2725,4650,1625,
IAAI,NJ-SAYREVILLE ,NJ ,1380,1730,2030,1780,2360,1130,
IAAI,ME - WINDHAM,NJ ,1800,2150,2450,2200,3200,1550,
IAAI,FL - WEST PALM BEACH,GA,1700,2000,2150,2050,2900,1500,
IAAI,CA-RIVERSIDE,CA,2040,2440,2790,2490,4180,1390,
IAAI,CO-COLORADO SPRINGS,TX,2150,2500,2900,2550,4000,1800,
IAAI,GA-LAKE CITY,GA,1535,1835,1985,1885,2570,1335,
IAAI,IL-DREAM RIDES,NJ,1900,2250,2550,2300,3400,1650,
IAAI,IL-REC RIDES - ONLINE-EXCLUSIVE,NJ,1900,2250,2550,2300,3400,1650,
IAAI,IN-FORT WAYNE,NJ,1935,2285,2585,2335,3470,1685,
IAAI,ME-ONLINE EXCLUSIVE + VIRTUAL A-B-C,NJ,2000,2350,2650,2400,3600,1750,
IAAI,MN-MINNEAPOLIS SOUTH,NJ,2010,2360,2660,2410,3620,1760,
IAAI,MN-ST. CLOUD,NJ,2110,2460,2760,2510,3820,1860,
IAAI,NY-MONTICELLO,NJ,1530,1880,2180,1930,2660,1280,
IAAI,NY-STATEN ISLAND,NJ,1380,1730,2030,1780,2360,1130,
IAAI,UT-PROVO,CA,2560,2960,3310,3010,5220,1910,
IAAI,CA-IAA RIVERSIDE,CA,2160,2560,2910,2610,4420,1510,
IAAI,FL-CAT ORLANDO BOGGY CREEK RD,GA ,1500,1800,1950,1850,2500,1300,
IAAI,IN-IAA INDY MINNESOTA STREET ,NJ ,1865,2215,2515,2265,3330,1615,
IAAI,MD-WHITE PLANS AUX LOT,NJ ,1620,1970,2270,2020,2840,1370,
IAAI,MN-IAA FARIBAULT,NJ ,2010,2360,2660,2410,3620,1760,
IAAI,OH-VERMILLION NORTH FORD OFFSITE LOT,NJ ,1790,2140,2440,2190,3180,1540,
IAAI,VT-DEVILS BOWL SUB LOT,NJ ,1900,2250,2550,2300,3400,1650,
IAAI,HI - Honolulu,CA,4000,4550,5050,4750,6350,2800,
IAAI,HI - Hilo Run&Drive (NO Electric or Hybrid),CA,4350,4650,5150,4850,6450,3600,
IAAI,HI - Hilo Non runner (NO Electric or Hybrid),CA,4550,4850,5350,5050,6650,3800,
IAAI,HI - Kona Run&Drive (NO Electric or Hybrid),CA,4750,5050,5550,5250,6850,3600,
IAAI,HI - Kona Non runner (NO Electric or Hybrid),CA,5050,5350,5850,5550,7150,3800,
IAAI,HI - MAUI Run&Drive (NO Electric or Hybrid),CA,4750,5050,5550,5250,6850,3600,
IAAI,HI - MAUI Non runner (NO Electric or Hybrid),CA,5050,5350,5850,5550,7150,3800,
IAAI,HI - Kauai,CA,5850,6350,6850,6550,8150,3200,
